CÃ³d.;quantidade_de_homens_por_municipio
2100055;52604
2100105;3131
2100154;6210
2100204;9401
2100303;11665
2100402;3264
2100436;11850
2100477;12972
2100501;5750
2100550;3655
2100600;19092
2100709;12877
2100808;6885
2100832;9065
2100873;5627
2100907;19996
2100956;13151
2101004;14603
2101103;5869
2101202;49719
2101251;8418
2101301;8289
2101350;2708
2101400;50266
2101509;9442
2101608;41821
2101707;33368
2101731;4482
2101772;5853
2101806;2810
2101905;9895
2101939;2917
2101970;3844
2102002;16676
2102036;14743
2102077;6209
2102101;17137
2102150;4772
2102200;15156
2102309;11203
2102325;27750
2102358;6550
2102374;5063
2102408;5109
2102507;8334
2102556;6218
2102606;10250
2102705;12155
2102754;5614
2102804;12246
2102903;12356
2103000;75389
2103109;5224
2103125;3674
2103158;6327
2103174;8485
2103208;39966
2103257;6557
2103307;55286
2103406;20538
2103505;19674
2103554;7692
2103604;29368
2103703;15957
2103752;7266
2103802;11204
2103901;5150
2104008;9063
2104057;16707
2104073;4200
2104081;5658
2104099;9287
2104107;6399
2104206;8618
2104305;5269
2104404;8556
2104503;5093
2104552;9324
2104602;6984
2104628;3617
2104651;5556
2104677;11652
2104701;3014
2104800;37226
2104909;5133
2105005;13327
2105104;12665
2105153;6949
2105203;5072
2105302;131439
2105351;7124
2105401;29561
2105427;11229
2105450;3777
2105476;8777
2105500;12211
2105609;7572
2105658;2573
2105708;21964
2105807;4767
2105906;7322
2105922;5316
2105948;4376
2105963;5902
2105989;3671
2106003;5516
2106102;5948
2106201;3673
2106300;6994
2106326;10369
2106359;3866
2106375;6956
2106409;8607
2106508;10987
2106607;16176
2106631;8836
2106672;4555
2106706;10753
2106755;11874
2106805;7035
2106904;13933
2107001;4717
2107100;9508
2107209;6831
2107258;2633
2107308;2175
2107357;7090
2107407;8875
2107456;6885
2107506;69377
2107605;10475
2107704;9004
2107803;15614
2107902;8513
2108009;9441
2108058;8746
2108108;10177
2108207;17693
2108256;12151
2108306;16126
2108405;5575
2108454;10213
2108504;15226
2108603;40773
2108702;10830
2108801;8831
2108900;8604
2109007;11867
2109056;3062
2109106;22025
2109205;5850
2109239;2350
2109270;8709
2109304;5233
2109403;7184
2109452;15051
2109502;11407
2109551;3787
2109601;18777
2109700;2898
2109759;3494
2109809;20320
2109908;40886
2110005;28959
2110039;12132
2110104;11915
2110203;18489
2110237;5308
2110278;7130
2110302;7120
2110401;9329
2110500;22320
2110609;13449
2110658;4037
2110708;16992
2110807;2265
2110856;4541
2110906;6115
2111003;9257
2111029;6240
2111052;5134
2111078;8394
2111102;12110
2111201;116127
2111250;3536
2111300;483501
2111409;8835
2111508;19130
2111532;7308
2111573;3048
2111607;9511
2111631;2945
2111672;2325
2111706;9781
2111722;4528
2111748;5127
2111763;7256
2111789;5333
2111805;8942
2111904;5258
2111953;2539
2112001;4559
2112100;13152
2112209;84197
2112233;10863
2112274;2798
2112308;18436
2112407;18500
2112456;15571
2112506;26630
2112605;16665
2112704;21704
2112803;25435
2112852;5266
2112902;15166
2113009;15293
2114007;20114
