CÃ³d.;quantidade_de_mulheres_por_municipio
2100055;53946
2100105;3013
2100154;5932
2100204;9066
2100303;11621
2100402;3183
2100436;12198
2100477;12738
2100501;5359
2100550;3515
2100600;17993
2100709;12445
2100808;6908
2100832;8454
2100873;5554
2100907;19056
2100956;12366
2101004;14869
2101103;5921
2101202;53992
2101251;8548
2101301;8001
2101350;2544
2101400;51501
2101509;9542
2101608;42711
2101707;32221
2101731;3978
2101772;5897
2101806;2659
2101905;9689
2101939;2923
2101970;3730
2102002;16424
2102036;13856
2102077;6003
2102101;16983
2102150;4446
2102200;14529
2102309;11252
2102325;27749
2102358;6368
2102374;4669
2102408;5012
2102507;8078
2102556;6083
2102606;9682
2102705;12148
2102754;5760
2102804;11816
2102903;11882
2103000;81584
2103109;4984
2103125;3420
2103158;6015
2103174;7782
2103208;41420
2103257;6321
2103307;58989
2103406;21120
2103505;20642
2103554;7223
2103604;30198
2103703;15601
2103752;7138
2103802;11849
2103901;5073
2104008;9248
2104057;16587
2104073;3848
2104081;5215
2104099;8432
2104107;6241
2104206;8358
2104305;4917
2104404;8650
2104503;5138
2104552;9087
2104602;6946
2104628;3446
2104651;5157
2104677;11476
2104701;3009
2104800;36646
2104909;5157
2105005;12353
2105104;12129
2105153;7025
2105203;5159
2105302;141671
2105351;6704
2105401;30879
2105427;11284
2105450;3694
2105476;8299
2105500;12498
2105609;7352
2105658;2573
2105708;22439
2105807;4739
2105906;7447
2105922;5256
2105948;4382
2105963;5509
2105989;3386
2106003;5781
2106102;5649
2106201;3488
2106300;6813
2106326;10780
2106359;3161
2106375;6805
2106409;8483
2106508;11047
2106607;15998
2106631;8596
2106672;4263
2106706;10277
2106755;11990
2106805;6943
2106904;13818
2107001;4389
2107100;9046
2107209;7345
2107258;2388
2107308;2145
2107357;7224
2107407;9044
2107456;6692
2107506;76266
2107605;10584
2107704;9270
2107803;15636
2107902;8707
2108009;9361
2108058;8310
2108108;10164
2108207;19357
2108256;12169
2108306;16385
2108405;5533
2108454;10266
2108504;16203
2108603;43848
2108702;11056
2108801;8883
2108900;8557
2109007;12036
2109056;2892
2109106;23130
2109205;5506
2109239;2346
2109270;8802
2109304;5316
2109403;6430
2109452;15788
2109502;10738
2109551;3633
2109601;19698
2109700;2670
2109759;3203
2109809;21241
2109908;44128
2110005;28676
2110039;12175
2110104;12042
2110203;18546
2110237;5259
2110278;6819
2110302;7184
2110401;9035
2110500;24075
2110609;13494
2110658;3955
2110708;17042
2110807;2137
2110856;4510
2110906;5949
2111003;9287
2111029;6011
2111052;4770
2111078;8495
2111102;12910
2111201;128452
2111250;3421
2111300;554274
2111409;8983
2111508;19699
2111532;7030
2111573;2735
2111607;9161
2111631;2705
2111672;2219
2111706;9717
2111722;4256
2111748;5080
2111763;7444
2111789;4869
2111805;8132
2111904;4980
2111953;2446
2112001;4303
2112100;13332
2112209;90268
2112233;11621
2112274;2709
2112308;17815
2112407;18991
2112456;16067
2112506;26726
2112605;16147
2112704;21557
2112803;26007
2112852;5096
2112902;15639
2113009;15552
2114007;20687
