CÃ³d.;quantidade_de_residentes_rurais_por_municipio
2100055;11970
2100105;3109
2100154;9136
2100204;13480
2100303;7570
2100402;3481
2100436;4698
2100477;11631
2100501;2747
2100550;1740
2100600;21283
2100709;17037
2100808;6077
2100832;5926
2100873;6059
2100907;27865
2100956;14960
2101004;11978
2101103;6920
2101202;20680
2101251;5151
2101301;7946
2101350;3815
2101400;12265
2101509;6488
2101608;26264
2101707;36878
2101731;4012
2101772;4722
2101806;2092
2101905;13579
2101939;3257
2101970;1426
2102002;16853
2102036;10506
2102077;8336
2102101;18128
2102150;6228
2102200;19795
2102309;5415
2102325;15576
2102358;8929
2102374;5393
2102408;6499
2102507;12681
2102556;2539
2102606;6465
2102705;7780
2102754;5387
2102804;7350
2102903;6363
2103000;35698
2103109;7786
2103125;2982
2103158;5200
2103174;8902
2103208;20013
2103257;5815
2103307;31072
2103406;7164
2103505;12633
2103554;7832
2103604;17373
2103703;9035
2103752;1686
2103802;6620
2103901;4608
2104008;8297
2104057;7538
2104073;5216
2104081;8761
2104099;11192
2104107;4512
2104206;6902
2104305;1365
2104404;8988
2104503;2830
2104552;2994
2104602;8959
2104628;2160
2104651;4937
2104677;7406
2104701;3180
2104800;26009
2104909;4713
2105005;14126
2105104;15205
2105153;6855
2105203;3570
2105302;11110
2105351;7863
2105401;23714
2105427;5590
2105450;3950
2105476;14263
2105500;7735
2105609;7721
2105658;2130
2105708;13420
2105807;5305
2105906;9503
2105922;5586
2105948;3776
2105963;3829
2105989;3451
2106003;4365
2106102;4654
2106201;961
2106300;6199
2106326;3530
2106359;5529
2106375;5921
2106409;8281
2106508;13536
2106607;15923
2106631;9089
2106672;7243
2106706;10087
2106755;4020
2106805;5017
2106904;15080
2107001;4245
2107100;11010
2107209;8453
2107258;2707
2107308;1412
2107357;4792
2107407;7743
2107456;7237
2107506;811
2107605;16995
2107704;3980
2107803;17972
2107902;5833
2108009;5242
2108058;10617
2108108;8835
2108207;6236
2108256;16463
2108306;17263
2108405;7841
2108454;7856
2108504;9267
2108603;27961
2108702;9455
2108801;5771
2108900;9025
2109007;4621
2109056;3479
2109106;12489
2109205;6933
2109239;1035
2109270;8537
2109304;5701
2109403;9608
2109452;234
2109502;10473
2109551;3627
2109601;12898
2109700;2644
2109759;4434
2109809;20637
2109908;8869
2110005;30512
2110039;5844
2110104;10530
2110203;19509
2110237;8199
2110278;8402
2110302;7274
2110401;6380
2110500;18757
2110609;13626
2110658;2387
2110708;15570
2110807;2692
2110856;4332
2110906;7726
2111003;12482
2111029;5558
2111052;4330
2111078;9510
2111102;3391
2111201;3739
2111250;4161
2111300;7836
2111409;10325
2111508;10055
2111532;2426
2111573;2636
2111607;4905
2111631;3733
2111672;2075
2111706;13961
2111722;4951
2111748;3980
2111763;4597
2111789;5774
2111805;11197
2111904;4539
2111953;2295
2112001;2694
2112100;7774
2112209;18788
2112233;3413
2112274;2514
2112308;18927
2112407;24584
2112456;18039
2112506;24104
2112605;13108
2112704;14500
2112803;21833
2112852;3617
2112902;12692
2113009;13362
2114007;13343
