CÃ³d.;quantidade_de_residentes_urbanos_por_municipio
2100055;94580
2100105;3035
2100154;3006
2100204;4987
2100303;15716
2100402;2966
2100436;19350
2100477;14079
2100501;8362
2100550;5430
2100600;15802
2100709;8285
2100808;7716
2100832;11593
2100873;5122
2100907;11187
2100956;10557
2101004;17494
2101103;4870
2101202;83031
2101251;11815
2101301;8344
2101350;1437
2101400;89502
2101509;12496
2101608;58268
2101707;28711
2101731;4448
2101772;7028
2101806;3377
2101905;6005
2101939;2583
2101970;6148
2102002;16247
2102036;18093
2102077;3876
2102101;15992
2102150;2990
2102200;9890
2102309;17040
2102325;39923
2102358;3989
2102374;4339
2102408;3622
2102507;3731
2102556;9762
2102606;13467
2102705;16523
2102754;5987
2102804;16712
2102903;17875
2103000;121275
2103109;2422
2103125;4112
2103158;7142
2103174;7365
2103208;61373
2103257;7063
2103307;83203
2103406;34494
2103505;27683
2103554;7083
2103604;42193
2103703;22523
2103752;12718
2103802;16433
2103901;5615
2104008;10014
2104057;25756
2104073;2832
2104081;2112
2104099;6527
2104107;8128
2104206;10074
2104305;8821
2104404;8218
2104503;7401
2104552;15417
2104602;4971
2104628;4903
2104651;5776
2104677;15722
2104701;2843
2104800;47863
2104909;5577
2105005;11554
2105104;9589
2105153;7119
2105203;6661
2105302;262000
2105351;5965
2105401;36726
2105427;16923
2105450;3521
2105476;2813
2105500;16974
2105609;7203
2105658;3016
2105708;30983
2105807;4201
2105906;5266
2105922;4986
2105948;4982
2105963;7582
2105989;3606
2106003;6932
2106102;6943
2106201;6200
2106300;7608
2106326;17619
2106359;1498
2106375;7840
2106409;8809
2106508;8498
2106607;16251
2106631;8343
2106672;1575
2106706;10943
2106755;19844
2106805;8961
2106904;12671
2107001;4861
2107100;7544
2107209;5723
2107258;2314
2107308;2908
2107357;9522
2107407;10176
2107456;6340
2107506;144832
2107605;4064
2107704;14294
2107803;13278
2107902;11387
2108009;13560
2108058;6439
2108108;11506
2108207;30814
2108256;7857
2108306;15248
2108405;3267
2108454;12623
2108504;22162
2108603;56660
2108702;12431
2108801;11943
2108900;8136
2109007;19282
2109056;2475
2109106;32666
2109205;4423
2109239;3661
2109270;8974
2109304;4848
2109403;4006
2109452;30605
2109502;11672
2109551;3793
2109601;25577
2109700;2924
2109759;2263
2109809;20924
2109908;76145
2110005;27123
2110039;18463
2110104;13427
2110203;17526
2110237;2368
2110278;5547
2110302;7030
2110401;11984
2110500;27638
2110609;13317
2110658;5605
2110708;18464
2110807;1710
2110856;4719
2110906;4338
2111003;6062
2111029;6693
2111052;5574
2111078;7379
2111102;21629
2111201;240840
2111250;2796
2111300;1029939
2111409;7493
2111508;28774
2111532;11912
2111573;3147
2111607;13767
2111631;1917
2111672;2469
2111706;5537
2111722;3833
2111748;6227
2111763;10103
2111789;4428
2111805;5877
2111904;5699
2111953;2690
2112001;6168
2112100;18710
2112209;155677
2112233;19071
2112274;2993
2112308;17324
2112407;12907
2112456;13599
2112506;29252
2112605;19704
2112704;28761
2112803;29609
2112852;6745
2112902;18113
2113009;17483
2114007;27458
